Date  t,nombre de cas
14-Mar,11
15-Mar,10
16-Mar,9
17-Mar,7
18-Mar,10
19-Mar,9
20-Mar,23
21-Mar,10
22-Mar,19
23-Mar,28
24-Mar,27
25-Mar,55
26-Mar,50
27-Mar,70
28-Mar,57
29-Mar,77
30-Mar,77
31-Mar,61
01-Apr,37
02-Apr,54
03-Apr,83
04-Apr,128
05-Apr,102
06-Apr,99
07-Apr,64
08-Apr,91
09-Apr,99
10-Apr,74
11-Apr,97
12-Apr,116
13-Apr,102
14-Apr,125
15-Apr,136
16-Apr,259
17-Apr,281
18-Apr,121
19-Apr,170
20-Apr,191
21-Apr,163
22-Apr,237
23-Apr,122
24-Apr,190
25-Apr,139
26-Apr,168
27-Apr,55
28-Apr,132
29-Apr,69
30-Apr,102
01-May,146
02-May,160
03-May,174
04-May,150
05-May,166
06-May,189
07-May,140
08-May,163
09-May,199
10-May,153
11-May,218
12-May,137
13-May,94
14-May,95
15-May,45
16-May,89
17-May,129
18-May,82
19-May,71
20-May,110
21-May,78
22-May,121
23-May,74
24-May,27
25-May,99
26-May,45
27-May,24
28-May,42
29-May,71
30-May,66
31-May,27
01-Jun,26
02-Jun,33
03-Jun,56
04-Jun,81
05-Jun,68
06-Jun,80
07-Jun,73
08-Jun,78
09-Jun,135
10-Jun,71
11-Jun,29
12-Jun,73
13-Jun,82
14-Jun,101
15-Jun,92
16-Jun,46
17-Jun,66
18-Jun,77
19-Jun,539
20-Jun,226
21-Jun,138
22-Jun,195
23-Jun,172
24-Jun,563
25-Jun,431
26-Jun,295
27-Jun,244
28-Jun,175
29-Jun,238
30-Jun,243
01-Jul,103
02-Jul,333
03-Jul,319
04-Jul,534
05-Jul,393
06-Jul,164
07-Jul,228
08-Jul,164
09-Jul,308
10-Jul,249
11-Jul,214
12-Jul,203
13-Jul,191
14-Jul,161
15-Jul,165
16-Jul,283
17-Jul,181
18-Jul,289
19-Jul,221
20-Jul,326
21-Jul,180
22-Jul,220
23-Jul,302
24-Jul,570
25-Jul,811
26-Jul,633
27-Jul,609
28-Jul,500
29-Jul,826
30-Jul,1046
31-Jul,1063
01-Aug,693
02-Aug,522
03-Aug,659
04-Aug,1021
05-Aug,1283
06-Aug,1144
07-Aug,1018
08-Aug,1345
09-Aug,1230
10-Aug,826
11-Aug,1132
12-Aug,1499
13-Aug,1241
14-Aug,1306
15-Aug,1776
16-Aug,1472
17-Aug,1069
18-Aug,1245
19-Aug,1510
20-Aug,1325
21-Aug,1609
22-Aug,1565
23-Aug,1537
24-Aug,903
25-Aug,1276
26-Aug,1336
27-Aug,1221
28-Aug,1404
29-Aug,1567
30-Aug,1343
31-Aug,1191
01-Sep,1191
02-Sep,1672
03-Sep,1402
04-Sep,1750
